count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
999994,6,London,134,Croydon,U,Minor,,,531750,165000,51.36878592,-0.10870544,,
999993,6,London,134,Croydon,U,Minor,,,531050,157500,51.30154485,-0.12151087,,
999990,6,London,109,Westminster,B310,Minor,,,528194,179375,51.49878742,-0.15456254,,
999985,6,London,177,Sutton,B272,Minor,,,530482,162645,51.34791389,-0.12777346,,
999983,6,London,177,Sutton,B271,Minor,,,529600,163900,51.35939417,-0.13997436,,
999978,6,London,175,"Richmond upon Thames",B358,Minor,,,516950,170000,51.41696263,-0.31956897,,
999977,6,London,175,"Richmond upon Thames",B361,Minor,,,513850,174350,51.45669033,-0.36273163,,
999976,6,London,167,Newham,B109,Minor,,,541350,184700,51.54350293,0.03698095,,
999969,6,London,66,Hillingdon,B466,Minor,,,509100,187200,51.57312317,-0.42709736,,
999967,6,London,165,Haringey,B519,Minor,,,528280,187900,51.57538118,-0.15021975,,
999965,6,London,146,"Hammersmith and Fulham",B317,Minor,,,524515,178602,51.49266181,-0.20780862,,
999964,6,London,121,Enfield,B1452,Minor,,,530005,192635,51.61753754,-0.12358882,,
999962,6,London,147,Ealing,B455,Minor,,,511817,183026,51.53507547,-0.38923401,,
999961,6,London,134,Croydon,B243,Minor,,,532900,164350,51.36267666,-0.09243712,,
999959,6,London,134,Croydon,B273,Minor,,,532100,169000,51.40465163,-0.10219330,,
999957,6,London,118,Brent,B413,Minor,,,525100,183040,51.53241797,-0.19781216,,
998097,6,London,108,Wandsworth,C,Minor,,,525020,173960,51.45083157,-0.20217848,,
998071,6,London,108,Wandsworth,U,Minor,,,523303,174410,51.45525190,-0.22671912,,
998069,6,London,96,Islington,U,Minor,,,532700,184370,51.54263647,-0.08780455,,
998065,6,London,108,Wandsworth,B237,Minor,,,528100,173968,51.45021612,-0.15787375,,
998047,6,London,165,Haringey,U,Minor,,,530995,190716,51.60006321,-0.11001408,,
998036,6,London,134,Croydon,U,Minor,,,533036,166822,51.38486036,-0.08956091,,
998028,6,London,178,"Kingston upon Thames",U,Minor,,,521050,165350,51.37430993,-0.26221967,,
998025,6,London,178,"Kingston upon Thames",U,Minor,,,518487,163509,51.35830330,-0.29963823,,
998017,6,London,104,Lewisham,U,Minor,,,537819,172741,51.43690934,-0.01857083,,
995157,6,London,167,Newham,U,Minor,,,543345,183997,51.53668313,0.06544398,,
995150,6,London,147,Ealing,U,Minor,,,519160,179507,51.50194812,-0.28460180,,
990714,6,London,106,Bexley,U,Minor,,,547280,172681,51.43399226,0.11742258,,
990708,6,London,106,Bexley,U,Minor,,,545053,172751,51.43519524,0.08543652,,
990705,6,London,124,Redbridge,U,Minor,,,544000,186976,51.56328446,0.07609936,,
